window	log2FC	pvalue	qvalue	significant
chr1:565376:SIRT6-T1	1.4048	6.977e-171	1.395e-168	yes
chr2:744250:SIRT6-T2	1.2699	1.814e-144	2.591e-143	yes
chr3:128388000:SIRT6-T3	1.2532	4.991e-138	5.546e-137	yes
chr5:17786000:SIRT6-T4	1.2339	1.033e-139	1.216e-138	yes
chr6:28456000:SIRT6-T5	1.3441	6.737e-158	1.347e-156	yes
chr7:130838000:SIRT6-T6	1.3453	4.545e-161	1.010e-159	yes
chr10:27088000:SIRT6-T7	1.2902	2.116e-147	3.526e-146	yes
chr11:65562000:SIRT6-T8	1.3815	6.537e-168	5.104e-166	yes
chr12:56817000:SIRT6-T9	1.2656	6.980e-146	1.074e-144	yes
chr13:45396000:SIRT6-T10	1.3509	4.770e-165	1.908e-163	yes
chr15:66190000:SIRT6-T11	1.2675	4.345e-142	5.431e-141	yes
chr17:47834000:SIRT6-T12	1.3854	7.656e-168	5.104e-166	yes
chr19:47800000:SIRT6-T13	1.2306	2.277e-137	2.277e-136	yes
chr22:19668000:SIRT6-T14	1.3495	1.263e-164	3.608e-163	yes
chr1:20608000:SIRT6-T15	1.3109	4.391e-154	7.984e-153	yes
chr2:47610000:SIRT6-T16	1.2875	2.899e-144	3.865e-143	yes
chr3:98188000:SIRT6-T17	1.3675	1.109e-164	3.608e-163	yes
chr5:78320000:SIRT6-T18	1.3779	4.316e-165	1.908e-163	yes
chr6:33124000:SIRT6-T19	1.2458	9.804e-138	1.032e-136	yes
chr7:11756000:SIRT6-T20	1.3632	7.001e-162	1.750e-160	yes
chr20:47839660:DECOY0	-0.2020	9.990e-01	1.000e+00	no
chr18:64330064:DECOY1	-0.2648	1.000e+00	1.000e+00	no
chr19:21099175:DECOY2	-0.2848	1.000e+00	1.000e+00	no
chr22:7098094:DECOY3	-0.2898	1.000e+00	1.000e+00	no
chr5:85329480:DECOY4	-0.3947	1.000e+00	1.000e+00	no
chr4:17152434:DECOY5	-0.2775	1.000e+00	1.000e+00	no
chr2:55476945:DECOY6	-0.1958	9.986e-01	1.000e+00	no
chr6:2963516:DECOY7	-0.3535	1.000e+00	1.000e+00	no
chr20:84453188:DECOY8	-0.2046	9.992e-01	1.000e+00	no
chr10:108055579:DECOY9	-0.1675	9.949e-01	1.000e+00	no
chr11:74815013:DECOY10	-0.2434	9.999e-01	1.000e+00	no
chr2:106744154:DECOY11	-0.2268	9.998e-01	1.000e+00	no
chr21:17325218:DECOY12	-0.3167	1.000e+00	1.000e+00	no
chr19:73507566:DECOY13	-0.1408	9.867e-01	1.000e+00	no
chr15:102279692:DECOY14	-0.2117	9.996e-01	1.000e+00	no
chr19:100111289:DECOY15	-0.2654	1.000e+00	1.000e+00	no
chr13:65071271:DECOY16	-0.2467	9.999e-01	1.000e+00	no
chr22:30184707:DECOY17	-0.3046	1.000e+00	1.000e+00	no
chr2:41286974:DECOY18	-0.2241	9.998e-01	1.000e+00	no
chr8:37720475:DECOY19	-0.3201	1.000e+00	1.000e+00	no
chr6:2558800:DECOY20	-0.2910	1.000e+00	1.000e+00	no
chr3:72130485:DECOY21	-0.2921	1.000e+00	1.000e+00	no
chr9:5330643:DECOY22	-0.1833	9.980e-01	1.000e+00	no
chr1:107524554:DECOY23	-0.4422	1.000e+00	1.000e+00	no
chr15:10754840:DECOY24	-0.2718	1.000e+00	1.000e+00	no
chr11:17382950:DECOY25	-0.3054	1.000e+00	1.000e+00	no
chr22:26155446:DECOY26	-0.2847	1.000e+00	1.000e+00	no
chr8:41657262:DECOY27	-0.3179	1.000e+00	1.000e+00	no
chr4:2184804:DECOY28	-0.3512	1.000e+00	1.000e+00	no
chr3:97494656:DECOY29	-0.1908	9.980e-01	1.000e+00	no
chr11:19986878:DECOY30	-0.1412	9.832e-01	1.000e+00	no
chr3:53102777:DECOY31	-0.2925	1.000e+00	1.000e+00	no
chr16:1587923:DECOY32	-0.3183	1.000e+00	1.000e+00	no
chr3:53896438:DECOY33	-0.3467	1.000e+00	1.000e+00	no
chr13:14050390:DECOY34	-0.0891	9.184e-01	1.000e+00	no
chr12:93057029:DECOY35	-0.2272	9.998e-01	1.000e+00	no
chr2:115754405:DECOY36	-0.3327	1.000e+00	1.000e+00	no
chr2:52262747:DECOY37	-0.3023	1.000e+00	1.000e+00	no
chr21:79653053:DECOY38	-0.2290	9.998e-01	1.000e+00	no
chr3:90532707:DECOY39	-0.2328	9.998e-01	1.000e+00	no
chr21:86628161:DECOY40	-0.2333	9.998e-01	1.000e+00	no
chr3:41949043:DECOY41	-0.1528	9.918e-01	1.000e+00	no
chr2:71611068:DECOY42	-0.1467	9.882e-01	1.000e+00	no
chr15:11867419:DECOY43	-0.2045	9.992e-01	1.000e+00	no
chr3:108387480:DECOY44	-0.3408	1.000e+00	1.000e+00	no
chr22:64425629:DECOY45	-0.0942	9.299e-01	1.000e+00	no
chr8:35602307:DECOY46	-0.2941	1.000e+00	1.000e+00	no
chr18:94399768:DECOY47	-0.1997	9.990e-01	1.000e+00	no
chr5:105684321:DECOY48	-0.3276	1.000e+00	1.000e+00	no
chr1:26067950:DECOY49	-0.2644	1.000e+00	1.000e+00	no
chr6:48180569:DECOY50	-0.2485	9.999e-01	1.000e+00	no
chr18:106476272:DECOY51	-0.1788	9.972e-01	1.000e+00	no
chr14:36624826:DECOY52	-0.1649	9.948e-01	1.000e+00	no
chr8:62094037:DECOY53	-0.3132	1.000e+00	1.000e+00	no
chr22:92143035:DECOY54	-0.2506	1.000e+00	1.000e+00	no
chr12:80763446:DECOY55	-0.2956	1.000e+00	1.000e+00	no
chr12:20167939:DECOY56	-0.3139	1.000e+00	1.000e+00	no
chr12:38523590:DECOY57	-0.3044	1.000e+00	1.000e+00	no
chr2:101400363:DECOY58	-0.3427	1.000e+00	1.000e+00	no
